#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.1	362478	362895	Escherichia_coli_emrE	410-825/1244	....====/==....	1/2	33.44	91.39	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.10	62491	63435	leuO	1-945/945	===============	0/0	100.00	99.05	card	NC_000913.3:84368-85313
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.13	47870	48568	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	97.85	card	CP015085.1:3009840-3010539
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.13	48564	49938	cpxA	1-1375/1375	===============	0/0	100.00	98.98	card	NC_002695:4903562-4904936
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.14	28631	29863	mdfA	1-1233/1233	===============	0/0	100.00	98.38	card	JQ394987:1-1234
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.15	30219	31967	msbA	1-1749/1749	===============	0/0	100.00	100.00	card	NC_000913.3:966621-968370
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.17	1	68	Escherichia_coli_emrE	139-206/1244	.==............	0/0	5.47	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.19	10406	11893	tolC	1-1488/1488	===============	0/0	100.00	100.00	card	FJ768952:1-1489
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.2	136481	137204	baeR	1-724/724	===============	0/0	100.00	100.00	card	NC_007779:2166413-2167136
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.2	137200	138604	baeS	1-1405/1405	===============	0/0	100.00	100.00	card	AP009048:2165013-2166417
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.2	140016	143094	mdtC	1-3079/3079	===============	0/0	100.00	99.90	card	U00096:2158386-2161464
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.2	143094	146217	mdtB	1-3124/3124	===============	0/0	100.00	99.81	card	U00096:2155263-2158386
/home/ryder/AMR_PROJECT/assemblies/11657_5_33.fa	ERZ3164987.2	146216	147464	mdtA	1-1249/1249	===============	0/0	100.00	99.92	card	U00096:2154016-2155264
