#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.35	8444	8799	tet(34)_1	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinder	AB061440
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.39	1	78	tet(A)_2	1123-1200/1200	..............=	0/0	6.50	100.00	resfinder	X00006
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.40	832	2045	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.40	11805	12680	blaCTX-M-65_2	1-876/876	===============	0/0	100.00	100.00	resfinder	GQ456158
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.44	1	86	catB4_1	436-521/549	...........====	0/0	15.66	97.67	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.44	6581	6688	catB4_1	442-549/549	............===	0/0	19.67	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.45	2723	2898	aadA1_1	1-184/972	===...../......	4/8	18.11	94.56	resfinder	X02340
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.45	2895	3392	dfrA12_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AB571791
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.45	3800	4591	aadA2_2	1-792/792	===============	0/0	100.00	100.00	resfinder	JQ364967
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.45	5009	5935	sul1_2	1-927/927	===============	0/0	100.00	100.00	resfinder	CP002151
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.45	7755	7833	catB4_1	442-520/549	............===	0/0	14.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.46	1	78	tet(A)_2	1123-1200/1200	..............=	0/0	6.50	100.00	resfinder	X00006
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.46	5039	5899	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.46	6944	7022	catB4_1	443-521/549	............===	0/0	14.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.52	477	1313	strB_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M96392
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.52	1313	2116	strA_4	1-804/804	===============	0/0	100.00	99.88	resfinder	AF321551
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.52	2177	2992	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	GQ421466
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.57	1020	2219	tet(A)_4	1-1200/1200	===============	0/0	100.00	100.00	resfinder	AJ517790
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.59	1710	1787	catB4_1	443-520/549	............===	0/0	14.21	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_8_7.fa	ERZ3485393.6	1	80	catB4_1	441-520/549	............===	0/0	14.57	100.00	resfinder	EU935739
