#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	194216	194937	baeR	1-722/724	===============	0/0	99.72	96.95	card	NC_007779:2166413-2167136
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	194933	196337	baeS	1-1405/1405	===============	0/0	100.00	97.37	card	AP009048:2165013-2166417
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	197749	200827	mdtC	1-3079/3079	===============	0/0	100.00	96.43	card	U00096:2158386-2161464
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	200827	203950	mdtB	1-3124/3124	===============	0/0	100.00	97.18	card	U00096:2155263-2158386
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	203949	205197	mdtA	1-1249/1249	===============	0/0	100.00	96.80	card	U00096:2154016-2155264
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	260764	261931	PmrE	1-1168/1168	===============	0/0	100.00	95.63	card	U00096:2098447-2099614
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.1	286960	288368	mdtK	1-1409/1425	========/======	2/4	98.74	75.27	card	CP014358.1:2161326-2162751
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.10	45466	47110	PmrC	1-1645/1645	===============	0/0	100.00	98.54	card	AP009048:4338625-4340269
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.10	69843	70874	mdtN	1-1032/1032	===============	0/0	100.00	97.48	card	AP009048:4306557-4307589
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.10	70874	72925	mdtO	1-2052/2052	===============	0/0	100.00	96.83	card	AP009048:4304506-4306558
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.10	72922	74421	mdtP	1-1467/1467	========/======	1/33	100.00	95.53	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.10	124021	125361	Escherichia_coli_LamB	1-1341/1341	===============	0/0	100.00	98.36	card	BA000007:5101245-5102586
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.102	33	837	APH(3'')-Ib	1-805/805	===============	0/0	100.00	99.75	card	AF313472:15594-16398
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.102	836	1485	APH(6)-Id	1-650/838	============...	0/0	77.57	100.00	card	AF024602:3156-3993
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.11	147939	148602	acrS	1-664/664	===============	0/0	100.00	97.14	card	U00096:3412803-3413466
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.11	149000	150158	acrE	1-1159/1159	===============	0/0	100.00	97.67	card	U00096:3413864-3415022
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.11	150169	153274	acrF	1-3106/3106	===============	0/0	100.00	97.75	card	U00096:3415033-3418138
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.110	1054	1213	Escherichia_coli_emrE	1-160/1244	==.............	0/0	12.86	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.12	5326	6295	PmrF	1-970/970	===============	0/0	100.00	97.83	card	U00096:2367071-2368040
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.12	107974	109513	emrY	1-1540/1540	===============	0/0	100.00	97.66	card	D78168:1592-3131
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.12	109512	110568	emrK	1-1057/1057	===============	0/0	100.00	97.35	card	D78168:537-1593
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.12	111092	111707	evgA	1-616/616	===============	0/0	100.00	99.19	card	NC_002695:3211892-3212507
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.12	111711	115305	evgS	1-3595/3595	===============	0/0	100.00	97.05	card	U00096:2484374-2487968
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.125	10	826	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
/home/ryder/AMR_PROJECT/assemblies/11657_7_92.fa	ERZ3166320.13	2972	6086	acrD	1-3115/3115	===============	0/0	100.00	98.81	card	NC_007779:2586251-2589365
