#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.114	655	821	aadA1_1	1-174/972	===...../......	3/7	17.18	95.98	resfinder	X02340
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.117	671	777	catB4_1	443-549/549	............===	0/0	19.49	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.119	140	613	dfrA5_1	1-474/474	===============	0/0	100.00	100.00	resfinder	X12868
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.119	629	696	aadA1_1	108-175/972	.==............	0/0	7.00	100.00	resfinder	X02340
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.121	1	67	catB4_1	442-508/549	............==.	0/0	12.20	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.133	366	433	sul1_2	1-68/927	==.............	0/0	7.34	100.00	resfinder	CP002151
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.4	17948	18303	tet(34)_1	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinder	AB061440
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.60	2631	3491	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	JF910132
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.60	8400	8467	catB4_1	442-509/549	............==.	0/0	12.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.63	1	926	sul1_2	2-927/927	===============	0/0	99.89	100.00	resfinder	CP002151
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.63	6221	7142	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.63	7212	7276	catB4_1	443-507/549	............==.	0/0	11.84	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.64	7197	7263	catB4_1	443-509/549	............==.	0/0	12.20	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.84	1	67	catB4_1	443-509/549	............==.	0/0	12.20	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.84	114	713	aac(6')Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.84	844	1674	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	J02967
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.84	1812	2444	catB3_1	1-633/633	===============	0/0	100.00	99.84	resfinder	AJ009818
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.84	2492	2778	ARR-3_4	54-340/543	.=========.....	0/0	52.85	99.30	resfinder	FM207631
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.84	2772	2840	catB4_1	439-507/549	...........===.	0/0	12.57	98.55	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.95	1	67	aadA1_1	108-174/972	.==............	0/0	6.89	100.00	resfinder	X02340
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.95	86	559	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238
/home/ryder/AMR_PROJECT/assemblies/11679_4_34.fa	ERZ3165447.95	690	1478	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361
