#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.1	321039	321456	Escherichia_coli_emrE	410-825/1244	....====/==....	1/2	33.44	91.63	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.10	43631	44971	Escherichia_coli_LamB	1-1341/1341	===============	0/0	100.00	99.33	card	BA000007:5101245-5102586
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.10	106607	108073	mdtP	1-1467/1467	===============	0/0	100.00	98.23	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.10	108070	110121	mdtO	1-2052/2052	===============	0/0	100.00	98.29	card	AP009048:4304506-4306558
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.10	110121	111152	mdtN	1-1032/1032	===============	0/0	100.00	97.97	card	AP009048:4306557-4307589
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.10	140551	142195	PmrC	1-1645/1645	===============	0/0	100.00	99.39	card	AP009048:4338625-4340269
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.117	1	160	Escherichia_coli_emrE	1-160/1244	==.............	0/0	12.86	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.12	102062	103294	mdfA	1-1233/1233	===============	0/0	100.00	97.16	card	JQ394987:1-1234
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.17	8762	8939	Escherichia_coli_emrE	205-382/1244	..===..........	0/0	14.31	95.51	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.17	90604	91797	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	99.75	card	NC_000913.3:484426-485620
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.17	91820	94969	acrB	1-3150/3150	===============	0/0	100.00	99.08	card	NC_000913.3:481254-484404
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.2	93261	94748	tolC	1-1488/1488	===============	0/0	100.00	99.73	card	FJ768952:1-1489
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.2	117123	117945	bacA	1-823/823	===============	0/0	100.00	100.00	card	U00096:3203310-3204132
/home/ryder/AMR_PROJECT/assemblies/11658_5_9.fa	ERZ3164338.2	133307	134686	patA	1-1380/1380	===============	0/0	100.00	99.78	card	NC_000913.3:3219494-3220874
