#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.1	259580	259997	Escherichia_coli_emrE	410-825/1244	....====/==....	1/2	33.44	91.63	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.12	28207	29374	PmrE	1-1168/1168	===============	0/0	100.00	96.06	card	U00096:2098447-2099614
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.12	78884	80132	mdtA	1-1249/1249	===============	0/0	100.00	98.08	card	U00096:2154016-2155264
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.12	80131	83254	mdtB	1-3124/3124	===============	0/0	100.00	97.66	card	U00096:2155263-2158386
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.12	83254	86332	mdtC	1-3079/3079	===============	0/0	100.00	98.41	card	U00096:2158386-2161464
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.12	87744	89148	baeS	1-1405/1405	===============	0/0	100.00	100.00	card	AP009048:2165013-2166417
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.12	89144	89867	baeR	1-724/724	===============	0/0	100.00	100.00	card	NC_007779:2166413-2167136
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.139	1649	1715	Escherichia_coli_emrE	139-205/1244	.==............	0/0	5.39	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.142	1584	1650	Escherichia_coli_emrE	140-206/1244	.==............	0/0	5.39	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.154	1054	1258	Escherichia_coli_emrE	1-205/1244	===............	0/0	16.48	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.18	11313	14759	mfd	1-3447/3447	===============	0/0	100.00	99.91	card	NC_000913.3:1170518-1173965
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.18	59950	61159	mdtH	1-1210/1210	===============	0/0	100.00	100.00	card	U00096:1124118-1125327
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.18	69787	71014	mdtG	1-1228/1228	===============	0/0	100.00	100.00	card	NC_007779:1115841-1117068
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.2	1	69	Escherichia_coli_emrE	139-207/1244	.==............	0/0	5.55	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.2	66362	67306	leuO	1-945/945	===============	0/0	100.00	100.00	card	NC_000913.3:84368-85313
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.2	154294	155937	YojI	1-1644/1644	===============	0/0	100.00	98.30	card	NC_000913.3:1-1645
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.2	162280	163149	Escherichia_coli_rob	1-870/870	===============	0/0	100.00	99.19	card	NC_000913.3:4634441-4635311
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.20	75317	76549	mdfA	1-1233/1233	===============	0/0	100.00	98.38	card	JQ394987:1-1234
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.21	62125	63094	PmrF	1-970/970	===============	0/0	100.00	100.00	card	U00096:2367071-2368040
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.25	53157	53790	CRP	1-634/634	===============	0/0	100.00	99.84	card	AP009048:4153664-4154297
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.26	18951	20127	mdtL	1-1177/1177	===============	0/0	100.00	100.00	card	U00096:3891615-3892791
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.26	56635	57825	emrD	1-1191/1191	===============	0/0	100.00	98.07	card	GG749185.1:116813-118004
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.29	23566	23921	tet34	66-421/465	.=======/=====.	2/2	76.34	75.35	card	AB061440:306-771
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.3	57033	60147	acrD	1-3115/3115	===============	0/0	100.00	100.00	card	NC_007779:2586251-2589365
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.30	51907	52437	emrR	1-531/531	===============	0/0	100.00	100.00	card	NC_000913.3:2810770-2811301
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.30	52564	53737	emrA	1-1174/1174	===============	0/0	100.00	100.00	card	AP009048:2810083-2811256
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.30	53753	55292	emrB	1-1540/1540	===============	0/0	100.00	100.00	card	U00096:2812616-2814155
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.31	5348	8453	acrF	1-3106/3106	===============	0/0	100.00	99.97	card	U00096:3415033-3418138
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.31	8464	9622	acrE	1-1159/1159	===============	0/0	100.00	100.00	card	U00096:3413864-3415022
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.31	10020	10683	acrS	1-664/664	===============	0/0	100.00	99.85	card	U00096:3412803-3413466
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.32	38224	38608	marA	1-385/385	===============	0/0	100.00	100.00	card	NC_007779:1621288-1621672
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.33	2060	3434	cpxA	1-1375/1375	===============	0/0	100.00	98.98	card	NC_002695:4903562-4904936
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.33	3430	4128	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	97.85	card	CP015085.1:3009840-3010539
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.36	4252	5485	mdtM	1-1234/1234	===============	0/0	100.00	100.00	card	U00096:4567287-4568520
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.37	37497	37655	Escherichia_coli_emrE	202-361/1244	..===.../......	3/3	12.70	81.99	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.4	37709	38902	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	100.00	card	NC_000913.3:484426-485620
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.4	38925	42074	acrB	1-3150/3150	===============	0/0	100.00	100.00	card	NC_000913.3:481254-484404
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.43	462	1287	gadX	1-826/826	===============	0/0	100.00	100.00	card	NC_007779:3974605-3975430
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.43	1654	2382	gadW	1-729/729	===============	0/0	100.00	94.65	card	CP015085.1:2551712-2552441
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.43	2744	5858	mdtF	1-3115/3115	===============	0/0	100.00	99.97	card	U00096:3660414-3663528
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.43	5883	7041	mdtE	1-1159/1159	===============	0/0	100.00	100.00	card	AP009048:3980026-3981184
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.47	8136	8813	kdpE	1-678/678	===============	0/0	100.00	100.00	card	NC_000913.3:721056-721734
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.47	12775	12918	kdpE	535-678/678	...........====	0/0	21.24	90.28	card	NC_000913.3:721056-721734
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.53	5606	6020	H-NS	1-415/415	===============	0/0	100.00	99.28	card	NC_002695:1737554-1737968
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.6	49189	50568	patA	1-1380/1380	===============	0/0	100.00	100.00	card	NC_000913.3:3219494-3220874
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.6	65930	66752	bacA	1-823/823	===============	0/0	100.00	100.00	card	U00096:3203310-3204132
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.6	89039	90526	tolC	1-1488/1488	===============	0/0	100.00	99.93	card	FJ768952:1-1489
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.67	7441	8849	mdtK	1-1409/1425	========/======	2/4	98.74	75.34	card	CP014358.1:2161326-2162751
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.69	919	1030	Escherichia_coli_emrE	81-192/1244	===............	0/0	9.00	83.93	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.7	34972	36312	Escherichia_coli_LamB	1-1341/1341	========/======	2/6	99.78	98.44	card	BA000007:5101245-5102586
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.7	86001	87467	mdtP	1-1467/1467	===============	0/0	100.00	100.00	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.7	87464	89515	mdtO	1-2052/2052	===============	0/0	100.00	100.00	card	AP009048:4304506-4306558
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.7	89515	90546	mdtN	1-1032/1032	===============	0/0	100.00	99.81	card	AP009048:4306557-4307589
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.7	119984	121628	PmrC	1-1645/1645	===============	0/0	100.00	99.94	card	AP009048:4338625-4340269
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.8	6546	8294	msbA	1-1749/1749	===============	0/0	100.00	100.00	card	NC_000913.3:966621-968370
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.9	28901	32495	evgS	1-3595/3595	===============	0/0	100.00	100.00	card	U00096:2484374-2487968
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.9	32499	33114	evgA	1-616/616	===============	0/0	100.00	100.00	card	NC_002695:3211892-3212507
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.9	33638	34694	emrK	1-1057/1057	===============	0/0	100.00	100.00	card	D78168:537-1593
/home/ryder/AMR_PROJECT/assemblies/11657_7_34.fa	ERZ3165028.9	34693	36232	emrY	1-1540/1540	===============	0/0	100.00	99.81	card	D78168:1592-3131
