#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.15	51909	52264	tet(34)_1	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinder	AB061440
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.44	11	117	catB4_1	443-549/549	............===	0/0	19.49	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.44	187	1108	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.44	5366	6565	tet(A)_4	1-1200/1200	===============	0/0	100.00	99.83	resfinder	AJ517790
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.44	10044	10700	QnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.45	3096	3971	blaCTX-M-14_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF252622
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.47	2117	4036	tet(M)_8	1-1920/1920	===============	0/0	100.00	96.15	resfinder	X04388
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.47	4881	4960	catB4_1	442-521/549	............===	0/0	14.57	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.50	4109	4187	catB4_1	442-520/549	............===	0/0	14.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.55	1	78	catB4_1	443-520/549	............===	0/0	14.21	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.57	2931	2999	catB4_1	481-549/549	.............==	0/0	12.57	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.59	1	78	catB4_1	443-520/549	............===	0/0	14.21	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.59	909	1769	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.62	1294	2154	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	JF910132
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.64	400	816	fosA_14	1-417/417	===============	0/0	100.00	91.37	resfinder	AB522970
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.64	2011	2088	catB4_1	442-519/549	............===	0/0	14.21	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_7_23.fa	ERZ3485265.82	1	69	catB4_1	481-549/549	.............==	0/0	12.57	100.00	resfinder	EU935739
