#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.107	1918	2084	aadA1_1	1-174/972	===...../......	3/7	17.18	95.98	resfinder	X02340
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.107	2103	2576	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.120	1	65	catB4_1	442-506/549	............==.	0/0	11.84	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.120	73	909	strB_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M96392
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.120	909	1712	strA_4	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.120	1773	1864	sul2_3	725-816/816	.............==	0/0	11.27	100.00	resfinder	HQ840942
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.124	1	66	catB4_1	443-508/549	............==.	0/0	12.02	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.125	1	65	catB4_1	443-507/549	............==.	0/0	11.84	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.125	1587	1653	catB4_1	442-508/549	............==.	0/0	12.20	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.144	303	1093	sul2_3	1-791/816	===============	0/0	96.94	100.00	resfinder	HQ840942
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.164	1	107	catB4_1	443-549/549	............===	0/0	19.49	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.25	45869	46224	tet(34)_1	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinder	AB061440
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.8	164012	164079	catB4_1	442-509/549	............==.	0/0	12.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.81	324	1499	oqxA_1	1-1176/1176	===============	0/0	100.00	100.00	resfinder	EU370913
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.81	1523	4675	oqxB_1	1-3153/3153	===============	0/0	100.00	100.00	resfinder	EU370913
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.81	5273	5338	catB4_1	442-507/549	............==.	0/0	12.02	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.92	1	67	catB4_1	443-509/549	............==.	0/0	12.20	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.92	3874	3965	sul2_1	725-816/816	.............==	0/0	11.27	100.00	resfinder	AF542061
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.95	752	1936	tet(D)_1	1-1185/1185	===============	0/0	100.00	99.92	resfinder	AF467077
/home/ryder/AMR_PROJECT/assemblies/11657_6_53.fa	ERZ3165591.95	3577	3643	catB4_1	442-508/549	............==.	0/0	12.20	100.00	resfinder	EU935739
