#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.1	7817	9225	mdtK	1-1409/1425	========/======	2/4	98.74	75.19	card	CP014358.1:2161326-2162751
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.12	78363	79595	mdfA	1-1233/1233	===============	0/0	100.00	98.38	card	JQ394987:1-1234
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.128	812	1017	Escherichia_coli_emrE	1-206/1244	===............	0/0	16.56	86.89	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.13	14992	15625	CRP	1-634/634	===============	0/0	100.00	99.05	card	AP009048:4153664-4154297
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.14	23536	26982	mfd	1-3447/3447	===============	0/0	100.00	98.64	card	NC_000913.3:1170518-1173965
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.14	72190	73399	mdtH	1-1210/1210	===============	0/0	100.00	98.02	card	U00096:1124118-1125327
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.14	82029	83256	mdtG	1-1228/1228	===============	0/0	100.00	99.19	card	NC_007779:1115841-1117068
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.15	36105	39219	acrD	1-3115/3115	===============	0/0	100.00	99.17	card	NC_007779:2586251-2589365
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.167	62	445	H-NS	32-415/415	.==============	0/0	92.53	98.70	card	NC_002695:1737554-1737968
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.189	1	67	Escherichia_coli_emrE	139-205/1244	.==............	0/0	5.39	98.51	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.19	53954	54923	PmrF	1-970/970	===============	0/0	100.00	99.59	card	U00096:2367071-2368040
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.197	359	425	Escherichia_coli_emrE	139-205/1244	.==............	0/0	5.39	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.2	48410	49354	leuO	1-945/945	===============	0/0	100.00	99.15	card	NC_000913.3:84368-85313
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.23	23015	23713	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	97.85	card	CP015085.1:3009840-3010539
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.23	23709	25083	cpxA	1-1375/1375	===============	0/0	100.00	98.04	card	NC_002695:4903562-4904936
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.24	1	114	Escherichia_coli_emrE	94-207/1244	.==............	0/0	9.16	99.12	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.27	33866	35206	Escherichia_coli_LamB	1-1341/1341	===============	0/0	100.00	99.40	card	BA000007:5101245-5102586
