Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	ERZ3165398.1	498549	501650	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.00	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
NA	ERZ3165398.13	57480	61721	+	fdeC	inverse autotransporter adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1414	1416	99.93	91.87	1415	ABE05822.1	inverse autotransporter adhesin FdeC	NA	NA
NA	ERZ3165398.14	30385	30984	+	lpfA2	long polar fimbria major subunit LpfA2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	200	200	100.00	99.50	200	BAB38093.1	long polar fimbria major subunit LpfA2	NA	NA
NA	ERZ3165398.14	89300	90487	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	396	396	100.00	100.00	396	EFF04178.1	multidrug efflux MFS transporter EmrD	NA	NA
NA	ERZ3165398.14	108154	113295	+	air	inverse autotransporter adhesin EaeX/Air	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	1714	3418	50.15	93.82	1714	CAR15326.1	inverse autotransporter adhesin EaeX/Air	NA	NA
NA	ERZ3165398.18	78727	80421	+	eilA	HilA family transcriptional regulator EilA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	565	565	100.00	99.65	565	ACB16655.1	HilA family transcriptional regulator EilA	NA	NA
NA	ERZ3165398.2	455859	456122	+	ariR	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTX	88	88	100.00	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
NA	ERZ3165398.22	12928	14058	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.00	98.67	377	AAC77110.1	BlaEC family class C beta-lactamase	NA	NA
NA	ERZ3165398.24	45524	46057	+	lpfA1	long polar fimbria major subunit LpfA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	178	178	100.00	99.44	178	OPH66324.1	long polar fimbria major subunit LpfA1	NA	NA
NA	ERZ3165398.5	201256	202674	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	473	473	100.00	96.62	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
NA	ERZ3165398.9	50072	51298	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	409	410	99.76	98.29	409	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
